time,x,y,v_x,v_y,total_energy
0,149600000000.0,0.0,0.0,29800.0,-442786818.18181825
432000.0,149046860175.01215,12873600000.0,-2546.740437560037,29691.02840299241,-442774669.634831
864000.0,147395593493.84995,25652526375.7581,-5074.470528857864,29363.344240576644,-442762274.98966163
1296000.0,144658555558.41357,38242663242.333084,-7564.19793674502,28819.4893335342,-442749641.38692385
1728000.0,140856255397.3052,50551361905.82057,-9997.245274725625,28063.692181441907,-442736778.0134599
2160000.0,136017185062.42499,62488162674.80878,-12355.406272574746,27101.828608735752,-442723696.0084124
2592000.0,130177582718.27122,73965496235.42159,-14621.096665751655,25941.36691523599,-442710408.3468887
3024000.0,123381131884.52722,84899358044.0386,-16777.49811116394,24591.298322259398,-442696929.70325625
3456000.0,115678600200.02606,95209949581.3198,-18808.69356573709,23062.05371406443,-442683276.2964916
3888000.0,107127421719.15633,104822280785.86182,-20699.792726588767,21365.407857869828,-442669465.7203068
4320000.0,97791227318.94978,113666728533.80664,-22437.046317300814,19514.372439914263,-442655516.7610093
4752000.0,87739328277.57701,121679546638.58154,-24007.94820812188,17523.079376938636,-442641449.2061909
5184000.0,77046158476.44084,128803323498.17845,-25401.324572857648,15406.655950203132,-442627283.6473783
5616000.0,65790680974.839096,134987384200.9381,-26607.40950554526,13181.093362025425,-442613041.27976155
6048000.0,54055764907.26766,140188134599.61945,-27617.906739733273,10863.11033333484,-442598743.7019837
6480000.0,41927538760.40128,144369345562.99277,-28426.03732662874,8470.013346448704,-442584412.71880484
6912000.0,29494726103.518177,147502376300.58185,-29026.573330414612,6019.555092711886,-442570070.1491885
7344000.0,16847969778.59122,149566336317.06396,-29415.85778527722,3529.792613110251,-442555737.6420883
7776000.0,4079150412.1526413,150548186177.36438,-29591.8113255298,1018.9465253947124,-442541436.5018539
8208000.0,-8719295100.589111,150442777842.6098,-29553.92604497464,-1494.7373820270782,-442527187.52485543
8640000.0,-21455049758.013474,149252835863.73138,-29303.247262523804,-3993.1230365967067,-442513010.8485405
9072000.0,-34036582195.358047,146988881188.52917,-28842.34396719896,-6458.314432634592,-442498925.81380177
9504000.0,-46373797295.69101,143669099746.301,-28175.26878689693,-8872.780573037613,-442484950.841173
9936000.0,-58378667332.779816,139319158320.46744,-27307.508372441072,-11219.474270651686,-442471103.3210729
10368000.0,-69965839702.78299,133971970504.50485,-26245.92511280043,-13481.944218200855,-442457399.51800984
10800000.0,-81053217700.1848,127667415762.00586,-24998.691100853393,-15644.439869178692,-442443854.4884201
11232000.0,-91562511189.0994,120452014781.23926,-23575.21525403055,-17692.008796445913,-442430482.01159084
11664000.0,-101419754406.53104,112378564432.70279,-21986.064463225062,-19610.586308153397,-442417294.5329553
12096000.0,-110555788503.11923,103505735710.23587,-20242.87959933165,-21387.07720031101,-442404303.1189099
12528000.0,-118906706774.29933,93897638068.28519,-18358.287152574045,-23009.429610690942,-442391517.42221844
12960000.0,-126414260856.91138,83623353566.27757,-16345.807218304568,-24466.70100915358,-442378945.6570175
13392000.0,-133026226460.57407,72756444202.30042,-14219.75847702084,-25749.116414758697,-442366594.58242
13824000.0,-138696727468.27634,61374435768.93608,-11995.160748605878,-26848.118970449992,-442354469.4937369
14256000.0,-143386517476.40726,49558281500.45418,-9687.635633721678,-27756.413032328495,-442342574.2203808
14688000.0,-147063218051.64246,37391808708.58667,-7313.305691100442,-28467.99994353186,-442330911.12959045
15120000.0,-149701513162.4368,24961151529.26561,-4888.692540149883,-28978.20666375137,-442319481.135206
15552000.0,-151283299398.83444,12354172829.874207,-2430.6142255133445,-29283.70741590075,-442308283.7108361
15984000.0,-151797791729.0668,-340121740.03801346,43.91786458493971,-29382.538493024622,-442297316.90688616
16416000.0,-151241584658.6822,-13032174628.51661,2517.8022700933598,-29274.106342951873,-442286577.37103736
16848000.0,-149618668761.8821,-25632469309.864677,4973.950690636015,-28959.189017304,-442276060.37191945
17280000.0,-146940402649.7804,-38052122410.82068,7395.390961660592,-28439.931037165796,-442265759.8258468
17712000.0,-143225440531.09192,-50203472197.70821,9765.369564544408,-27719.831691952844,-442255668.32663304
18144000.0,-138499615612.0117,-62000660587.29701,12067.453453527942,-26803.726752713785,-442245777.17863506
18576000.0,-132795779678.43391,-73360205828.46518,14285.630965268383,-25697.763548215826,-442236076.4332916
19008000.0,-126153599309.6979,-84201562972.62784,16404.411549589677,-24409.369323572664,-442226554.9295558
19440000.0,-118619309292.97946,-94447669210.56026,18408.924023408785,-22947.212778714296,-442217200.33870167
19872000.0,-110245423945.12938,-104025471104.73079,20285.01300486352,-21321.158669407992,-442207999.2140847
20304000.0,-101090407207.55714,-112866430693.33727,22019.333132644322,-19542.21534843765,-442198937.046494
20736000.0,-91218302562.41046,-120907007389.34532,23599.44061799244,-17622.475130397426,-442189998.3257668
21168000.0,-80698324026.8298,-128089112549.9878,25013.881615579354,-15575.047381621971,-442181166.60936785
21600000.0,-69604409717.64186,-134360533554.93164,26252.276836582354,-13413.984268087057,-442172424.598604
22032000.0,-58014739741.73911,-139675324210.56906,27305.401764999686,-11154.199139410448,-442163754.223107
22464000.0,-46011220456.78375,-143994158299.81122,28165.261779085187,-8811.37758676596,-442155136.7341404
22896000.0,-33678937460.872135,-147284643127.62076,28825.161426362043,-6401.881286608621,-442146552.8071685
23328000.0,-21105580005.332817,-149521589978.49274,29279.767055738055,-3942.644830174928,-442137982.6539758
23760000.0,-8380839877.638037,-150687238509.08264,29525.16197656701,-1451.0658398715977,-442129406.1444539
24192000.0,4404211833.98205,-150771432252.58817,29558.893294816062,1055.1112135100147,-442120802.9379422
24624000.0,17157766312.851496,-149771742615.99863,29380.009573404754,3557.9169562571296,-442112152.6237805
25056000.0,29787932774.47461,-147693539010.65985,28989.088479636568,6039.284153556928,-442103434.8704497
25488000.0,42203403910.82962,-144550003073.30505,28388.253619456795,8481.17904725795,-442094629.58239913
25920000.0,54314126178.30449,-140362085309.91785,27581.179817587235,10865.736054239707,-442085717.0633519
26352000.0,66031969784.52692,-135158402928.07352,26573.08618537898,13175.394758196453,-442076678.1845881
26784000.0,77271392965.55862,-128975078112.54976,25370.716424782597,15393.038003006863,-442067494.5563993
27216000.0,87950094932.33636,-121855516539.95032,23982.305946688954,17502.129782820288,-442058148.7006461
27648000.0,97989651713.72227,-113850126514.87325,22417.535533742353,19486.851526950275,-442048624.22210056
28080000.0,107316129042.20148,-105015979734.912,20687.471449405053,21332.23530091173,-442038905.97605073
28512000.0,115860666425.13498,-95416415344.83014,18804.49208352767,23024.292392451494,-442028980.22950023
28944000.0,123560026626.04607,-85120589610.29121,16782.20142609797,24550.135726698154,-442018834.8132117
29376000.0,130357104951.35513,-74202974215.8641,14635.329870602438,25898.094560421247,-442008459.2618204
29808000.0,136201393000.80988,-62742806856.913475,12379.623061324302,27057.819943834445,-441997844.9393191
30240000.0,141049391894.74258,-50823498436.01657,10031.719709247856,28020.379510415412,-441986985.1473505
30672000.0,144864970435.8526,-38532001777.10141,7609.019503117372,28778.340260778932,-441975875.2139696
31104000.0,147619664192.49554,-25958147320.231686,5129.542429654919,29325.838144515455,-441964512.56085247
31536000.0,149292912096.9481,-13193951743.302425,2611.7809842319975,29658.63341172428,-441952896.7472783
31968000.0,149872227825.88058,-332905861.5645027,74.54689512621644,29774.15090024581,-441941029.48966765
32400000.0,149353303959.228,12530751528.690147,-2463.185903724064,29671.504640833413,-441928914.655932
32832000.0,147740047683.90546,25302766978.181095,-4982.440238531117,29351.506395342036,-441916558.23439324
33264000.0,145044547605.08597,37889605886.12427,-7464.3947454689605,28816.657986422983,-441903968.2775797
33696000.0,141286972033.87766,50199179169.402054,-9890.541146120537,28071.127524745025,-441891154.82170933
34128000.0,136495399919.68384,62141556193.33376,-12242.837924409101,27120.70988478131,-441878129.7831881
34560000.0,130705586371.985,73629657262.19623,-14503.85865198556,25972.77201617271,-441864906.83390725
34992000.0,123960665454.17867,84579919271.14534,-16656.9333147588,24636.183898421637,-441851501.2575337
35424000.0,116310793617.14203,94912928516.08891,-18686.281130128456,23121.236146606338,-441837929.7893388
35856000.0,107812737759.74657,104554015134.23456,-20577.133508118804,21439.545450164995,-441824210.442362
36288000.0,98529412447.139,113433804193.49783,-22315.84599487187,19603.94917179124,-441810362.3229004
36720000.0,88529371277.06134,121488719050.31058,-23889.998238162596,17628.390546411796,-441796405.43840253
37152000.0,77886257754.20416,128661433238.30493,-25288.481225789266,15527.795999543672,-441782360.5008597
37584000.0,66678221309.572624,134901267820.1449,-26501.571262868056,13317.946149674844,-441768248.72870433
38016000.0,54987304285.66745,140164531816.79892,-27520.990367413775,11015.342071415997,-441754091.6500981
38448000.0,42898805800.96076,144414804008.7139,-28339.952969714705,8637.068376788804,-441739910.9102555
38880000.0,30500628412.920303,147623155068.54977,-28953.198995082497,6200.654623793542,-441725728.08520275
39312000.0,17882613423.888824,149768309623.5706,-29357.013587472582,3723.936487705529,-441711564.50405115
39744000.0,5135870526.244488,150836748447.26346,-29549.233889935032,1224.9180353021961,-441697441.08153635
40176000.0,-7647892728.523146,150822751535.86087,-29529.243434448115,-1278.3636703051156,-441683378.16222316
40608000.0,-20377036418.011795,149728383329.66925,-29297.954806863403,-3767.9705319198943,-441669395.3774151
41040000.0,-32960643785.07474,147563421786.88974,-28857.781341763653,-6226.190979016555,-441655511.515475
