time,x,y,v_x,v_y,total_energy
0,149600000000.0,0.0,0.0,29800.0,-442786818.18181825
216000.0,149461736429.531,6434816684.576664,-1280.0201615270882,29772.458227890715,-442786818.25986874
432000.0,149047202367.7228,12857739035.479187,-2557.6644355708295,29689.884459863173,-442786818.3380396
648000.0,148357167235.99847,19256894980.040825,-3830.561454086169,29552.433231718464,-442786818.416328
864000.0,147392911777.1127,25620456922.775703,-5096.348878602936,29360.361766034534,-442786818.4947315
1080000.0,146156225619.28293,31936663874.818245,-6352.6778915056475,29114.02946734148,-442786818.573247
1296000.0,144649403873.07523,38193843452.66327,-7597.217659176056,28813.897217000453,-442786818.6518715
1512000.0,142875242768.12463,44380433703.110245,-8827.659757738757,28460.52646941293,-442786818.7306007
1728000.0,140837034338.75845,50485004711.71574,-10041.722552251793,28054.578151642312,-442786818.8094318
1944000.0,138538560169.5566,56496279952.55639,-11237.155520310453,27596.811368977982,-442786818.88836056
2160000.0,135984084213.81781,62403157337.69892,-12411.743511182616,27088.081919411532,-442786818.96738267
2376000.0,133178344699.8004,68194729925.46161,-13563.310931767648,26529.340620424366,-442786819.04649425
2592000.0,130126545141.46729,73860306247.33145,-14689.725850866955,25921.631451904097,-442786819.12569064
2808000.0,126834344472.27927,79389430214.26962,-15788.904013472275,25266.089519412457,-442786819.2049677
3024000.0,123307846322.34738,84771900564.09268,-16858.81275701647,24563.938842418946,-442786819.2843201
3240000.0,119553587460.9674,89997789812.65433,-17897.474821790136,23816.489972490574,-442786819.36374354
3456000.0,115578525428.21375,95057462672.66986,-18902.972048004573,23025.13744678813,-442786819.4432327
3672000.0,111390025380.86293,99941593905.21835,-19873.448952276365,22191.35708256199,-442786819.5227823
3888000.0,106995846179.44409,104641185570.22264,-20807.11617662002,21316.703118665082,-442786819.6023877
4104000.0,102404125744.672,109147583643.54042,-21702.253803361178,20402.805210406037,-442786819.68204296
4320000.0,97623365712.9049,113452493969.69673,-22557.214529722845,19451.365284351374,-442786819.76174283
4536000.0,92662415421.58089,117547997520.74464,-23370.42669618941,18464.15425995089,-442786819.84148216
4752000.0,87530455256.82079,121426564933.25261,-24140.39716311651,17443.00864510506,-442786819.9212552
4968000.0,82236979396.54056,125081070296.9789,-24865.714030427815,16389.82701301633,-442786820.00105596
5184000.0,76791777983.48929,128504804170.40198,-25545.049195620948,15306.566367867947,-442786820.0808793
5400000.0,71204918763.61908,131691485799.92445,-26177.16074569288,14195.23840705368,-442786820.1607192
5616000.0,65486728226.099045,134635274521.25417,-26760.895178988518,13057.905687839679,-442786820.24057
5832000.0,59647772282.105736,137330780323.18344,-27295.189453373812,11896.677706475677,-442786820.3204262
6048000.0,53698836520.2567,139773073555.73175,-27779.07285753491,10713.706897886737,-442786820.4002816
6264000.0,47650906077.201065,141957693766.38406,-28211.668702606465,9511.184564169213,-442786820.48013073
6480000.0,41515145162.44211,143880657649.941,-28592.195831733938,8291.336740185507,-442786820.55996794
6696000.0,35302876276.940575,145538466099.29507,-28919.969945575136,7056.420004602143,-442786820.6397877
6912000.0,29025559165.43554,146928110346.25235,-29194.40474214444,5808.717244744946,-442786820.71958363
7128000.0,22694769542.721558,148047077183.32968,-29415.012869797672,4550.533383654232,-442786820.799351
7344000.0,16322177634.338505,148893353259.26727,-29581.40669254555,3284.1910777125636,-442786820.8790844
7560000.0,9919526572.264137,149465428442.80182,-29693.298867268004,2012.026393188232,-442786820.95877767
7776000.0,3498610686.2509184,149762298251.04327,-29750.50273277922,736.3844699901197,-442786821.0384257
7992000.0,-2928746268.5806065,149783465340.5828,-29752.932511063605,-540.3848191354571,-442786821.1180234
8208000.0,-9350712907.38803,149528940061.22928,-29700.60332136461,-1815.9312058170428,-442786821.1975657
8424000.0,-15755471994.174606,148999240074.02155,-29593.63100816115,-3087.908351628186,-442786821.2770474
8640000.0,-22131242163.220535,148195389036.8901,-29432.231784409407,-4353.978154076747,-442786821.3564636
8856000.0,-28466299543.654137,147118914363.0445,-29216.721691760587,-5611.815025201422,-442786821.4358094
9072000.0,-34748999247.84356,145771844058.83392,-28947.515879786806,-6859.110135103492,-442786821.5150804
9288000.0,-40967796684.762276,144156702649.47028,-28625.127706558076,-8093.575612894126,-442786821.594272
9504000.0,-47111268660.0203,142276506202.6093,-28250.167663212054,-9312.948697701248,-442786821.6733798
9720000.0,-53168134224.85473,140134756461.35587,-27823.3421254452,-10514.995832554212,-442786821.7523998
9936000.0,-59127275237.035805,137735434099.79065,-27345.45193512864,-11697.516694148322,-442786821.83132756
10152000.0,-64977756597.36512,135082991115.60732,-26817.39081551444,-12858.348151683775,-442786821.9101594
10368000.0,-70708846126.21835,132182342375.89658,-26240.14362374796,-13995.368148173919,-442786821.98889214
10584000.0,-76310034045.41351,129038856333.51868,-25614.784444639357,-15106.499497825107,-442786822.06752205
10800000.0,-81771052031.56384,125658344932.86472,-24942.474529872507,-16189.713593303894,-442786822.1460454
11016000.0,-87081891808.00049,122047052725.11928,-24224.460087042233,-17243.03401692618,-442786822.22445977
11232000.0,-92232823243.32018,118211645214.40154,-23462.069923111398,-18264.540050026477,-442786822.30276155
11448000.0,-97214411925.62555,114159196457.37744,-22656.71294706796,-19252.37007499274,-442786822.380949
11664000.0,-102017536182.5777,109897175940.1022,-21809.875536738913,-20204.724864682983,-442786822.459019
11880000.0,-106633403518.46893,105433434756.96826,-20923.11877488339,-21119.870754172927,-442786822.5369695
12096000.0,-111053566440.64749,100776191117.69948,-19998.075559841407,-21996.142690019406,-442786822.6147984
12312000.0,-115269937648.78088,95934015209.347,-19036.44759615801,-22831.947152460696,-442786822.69250405
12528000.0,-119274804561.6301,90915813441.20555,-18040.002270735524,-23625.764946212887,-442786822.77008486
12744000.0,-123060843157.21938,85730812101.48067,-17010.56942018928,-24376.153855759523,-442786822.84753925
12960000.0,-126621131103.5249,80388540455.39806,-15950.03799519534,-25081.75116127024,-442786822.9248668
13176000.0,-129949160158.06718,74898813315.25514,-14860.35262772242,-25741.276011522394,-442786823.0020655
13392000.0,-133038847816.07497,69271713113.67224,-13743.510107135142,-26353.53165043749,-442786823.0791355
13608000.0,-135884548188.1916,63517571512.00724,-12601.555771242058,-26917.407494081366,-442786823.156076
13824000.0,-138481062090.0147,57646950576.552605,-11436.579818440188,-27431.88105521334,-442786823.23288715
14040000.0,-140823646327.09705,51670623555.73775,-10250.71354717845,-27896.01971270475,-442786823.3095686
14256000.0,-142908022160.38693,45599555292.11331,-9046.125529025561,-28308.982323381482,-442786823.3861208
14472000.0,-144730382938.45123,39444882303.3969,-7825.017721684414,-28670.020674077972,-442786823.4625439
14688000.0,-146287400884.1982,33217892567.312622,-6589.621528344584,-28978.48077192191,-442786823.5388392
14904000.0,-147576233025.2041,26930005045.35988,-5342.193809808135,-29233.803971099493,-442786823.61500716
15120000.0,-148594526258.14053,20592748980.99983,-4085.0128558613324,-29435.527934580437,-442786823.6910492
15336000.0,-149340421539.20193,14217743008.051998,-2820.3743223966067,-29583.287429510383,-442786823.76696664
15552000.0,-149812557193.83997,7816674105.34793,-1550.5871408153823,-29676.814955205788,-442786823.842761
15768000.0,-150010071340.5247,1401276433.8943577,-277.9694062633532,-29715.941202912996,-442786823.9184339
15984000.0,-149932603424.66956,-5016689907.044974,995.1557487343964,-29700.595346719198,-442786823.9939877
16200000.0,-149580294860.27664,-11425460168.431824,2266.4642886601623,-29630.805165228445,-442786824.0694245
16416000.0,-148953788778.28064,-17813286247.924023,3533.635410828119,-29506.696993841088,-442786824.1447467
16632000.0,-148054228881.99216,-24168457957.747265,4794.355676061304,-29328.49550770001,-442786824.2199569
16848000.0,-146883257411.46307,-30479324227.41923,6046.323127639652,-29096.52333559213,-442786824.295058
17064000.0,-145443012220.01764,-36734314204.863815,7287.251391946331,-28811.200505318982,-442786824.3700531
17280000.0,-143736122967.611,-42921958219.58858,8514.873754253256,-28473.0437212759,-442786824.44494516
17496000.0,-141765706437.0918,-49030908571.78274,9726.947203105385,-28082.665475205675,-442786824.5197377
17712000.0,-139535360980.85593,-55049960111.42612,10921.25643678731,-27640.772991319685,-442786824.59443444
17928000.0,-137049160106.78276,-60968070571.78174,12095.61782538498,-27148.167007207336,-442786824.6690387
18144000.0,-134311645213.74286,-66774380621.97646,13247.883321990337,-26605.740392183743,-442786824.74355495
18360000.0,-131327817488.35544,-72458233603.75514,14375.944316637442,-26014.476604955584,-442786824.81798685
18576000.0,-128103128976.05397,-78009194917.92494,15477.735426605595,-25375.447992716283,-442786824.89233875
18792000.0,-124643472840.88718,-83417071026.48732,16551.238216778434,-24689.813934014084,-442786824.96661484
19008000.0,-120955172829.83958,-88671928036.98694,17594.484843808124,-23958.818827970255,-442786825.04081994
19224000.0,-117044971958.79892,-93764109836.18842,18605.561617901145,-23183.78993265931,-442786825.1149583
19440000.0,-112920020438.62505,-98684255740.82492,19582.612476117072,-22366.135055699066,-442786825.1890348
19656000.0,-108587862861.08617,-103423317633.84633,20523.84236115449,-21507.340100335052,-442786825.2630544
19872000.0,-104056424665.7197,-107972576555.3299,21427.520499689334,-20608.96647054142,-442786825.3370217
20088000.0,-99333997909.94641,-112323658718.00276,22291.98357443074,-19672.648338898507,-442786825.4109422
20304000.0,-94429226366.01555,-116468550918.16367,23115.638784168452,-18700.089781245693,-442786825.48482084
20520000.0,-89351089969.58226,-120399615313.68057,23896.9667862043,-17693.061782346565,-442786825.55866283
20736000.0,-84108888645.91685,-124109603541.68196,24634.524515688663,-16653.39911704136,-442786825.6324734
20952000.0,-78712225540.91354,-127591670149.55162,25326.94787652157,-15582.997111598932,-442786825.7062582
21168000.0,-73170989685.20413,-130839385313.88028,25972.954298627483,-14483.808290216348,-442786825.7800222
21384000.0,-67495338120.78637,-133846746823.12141,26571.345156573203,-13357.838911848492,-442786825.85377103
21600000.0,-61695677520.64458,-136608191300.84311,27121.00804467023,-12207.145402781785,-442786825.9275105
21816000.0,-55782645332.87045,-139118604647.66205,27620.91890388616,-11033.830690595074,-442786826.0012459
22032000.0,-49767090481.780624,-141373331681.18906,28070.143996085157,-9840.04044537601,-442786826.07498246
22248000.0,-43660053659.47324,-143368184954.60706,28467.841721324905,-8627.959234282218,-442786826.1487262
22464000.0,-37472747242.16514,-145099452735.84103,28813.264274157063,-7399.806595752484,-442786826.2224824
22680000.0,-31216534866.501743,-146563906130.66443,29105.759135110402,-6157.833039883348,-442786826.2962565
22896000.0,-24902910701.831112,-147758805334.5156,29344.770393780258,-4904.315981689962,-442786826.3700545
23112000.0,-18543478455.178253,-148681904999.27078,29529.83990020486,-3641.5556141661536,-442786826.4438816
23328000.0,-12149930146.344229,-149331458702.73407,29660.60824147851,-2371.87072824631,-442786826.51774293
23544000.0,-5734024691.182981,-149706222510.15817,29736.81554083307,-1097.5944869502719,-442786826.591644
23760000.0,692433668.3245649,-149805457618.70135,29758.302076713066,178.92983883922852,-442786826.66559005
23976000.0,7117617048.077843,-149628932077.3519,29725.008719674952,1455.3531653596133,-442786826.7395871
24192000.0,13529695680.389639,-149176921576.51068,29636.97718525829,2729.3249139595814,-442786826.8136395
24408000.0,19916859707.12399,-148450209303.1112,29494.35010130442,3998.4973442132587,-442786826.88775253
24624000.0,26267340967.22541,-147450084858.8732,29297.37088853686,5260.529894153454,-442786826.96193117
24840000.0,32569434738.207245,-146178342241.02585,29046.383453566315,6513.093519515845,-442786827.0361802
25056000.0,38811521391.024506,-144637276886.5981,28741.831693841057,7753.875023797158,-442786827.1105046
25272000.0,44982087917.69267,-142829681783.15237,28384.258814430206,8980.581370857984,-442786827.1849088
25488000.0,51069749291.02977,-140758842650.62973,27974.306456901842,10190.94397174561,-442786827.2593972
25704000.0,57063269615.996796,-138428532200.7784,27512.713640939484,11382.722937374834,-442786827.33397424
25920000.0,62951583032.29237,-135843003482.44447,27000.31551972806,12553.711288686041,-442786827.4086439
26136000.0,68723814328.12242,-133006982322.81535,26438.0419505332,13701.739115900284,-442786827.483411
26352000.0,74369299225.41614,-129925658876.51447,25826.91588229432,14824.677678511565,-442786827.558278
26568000.0,79877604297.19577,-126604678296.24709,25168.05156245172,15920.443437697379,-442786827.6332498
26784000.0,85238546478.3306,-123050130540.48827,24462.652565629025,16987.002012890232,-442786827.7083291
27000000.0,90442212131.51524,-119268539335.47844,23712.009647194256,18022.37205433595,-442786827.7835193
27216000.0,95478975631.00864,-115266850310.54732,22917.49842512371,19024.629023569058,-442786827.85882396
27432000.0,100339517427.45279,-111052418327.51614,22080.57689399177,19991.908873861983,-442786827.93424535
27648000.0,105014841557.95908,-106632994026.62883,21202.782775305084,20922.41162285302,-442786828.0097863
27864000.0,109496292566.60335,-102016709613.12808,20285.7307087903,21814.404809728316,-442786828.0854493
28080000.0,113775571801.50807,-97212063910.21915,19331.10928962868,22666.226829525196,-442786828.1612364
28296000.0,117844753055.80948,-92227906705.74678,18340.677957007898,23476.29013733795,-442786828.23714983
28512000.0,121696297521.00728,-87073422421.44499,17316.263739728824,24243.084315442582,-442786828.31319094
28728000.0,125323068022.47289,-81758113135.10059,16259.757864962528,24965.178996613202,-442786828.3893615
28944000.0,128718342508.24594,-76291780987.39474,15173.11223659815,25641.22663717984,-442786828.46566266
29160000.0,131875826763.67653,-70684510006.5487,14058.335789954614,26269.9651336743,-442786828.54209524
29376000.0,134789666325.96782,-64946647385.19473,12917.490729947018,26850.22027722702,-442786828.6186602
29592000.0,137454457574.23856,-59088784245.11855,11752.68866010056,27380.908040212766,-442786828.6953581
29808000.0,139865257972.35254,-53121735926.67023,10566.086610089875,27861.03668999552,-442786828.772189
30024000.0,142017595443.4503,-47056521840.7131,9359.882969748513,28289.70872499218,-442786828.84915274
30240000.0,143907476856.86057,-40904344921.971664,8136.313337740797,28666.12262865963,-442786828.9262494
30456000.0,145531395609.86456,-34676570723.54587,6897.646293315363,28989.574437409137,-442786829.0034782
30672000.0,146886338288.62607,-28384706193.178032,5646.179099765538,29259.459118864837,-442786829.0808387
30888000.0,147969790394.4849,-22040378172.586937,4384.233348405177,29475.271757307703,-442786829.15832937
31104000.0,148779741123.73047,-15655311661.81907,3114.1505520291607,29636.608543581835,-442786829.235949
