time,x,y,radius,v_x,v_y,a_x,a_y,total_energy
0,149600000000.0,0.0,149600000000.0,0.0,29800.0,-0.005927853062712689,-0.0,-442786818.18181825
216000.0,149461715043.75305,6436800000.0,149600256209.87433,-1280.4162615459406,29800.0,-0.005922343136258252,-0.00025505486999334706,-441965566.5085156
432000.0,149046988710.57648,12867650079.992796,149601407955.5131,-2559.642378977723,29744.90814808144,-0.005905773416327546,-0.000509862201379946,-441142807.1839364
648000.0,148356336074.46118,19280656174.544594,149603964372.47067,-3835.2894369044734,29634.77791258337,-0.0058781059513034525,-0.0007639292180129278,-440318565.0905761
864000.0,147390789100.4578,25663947262.864796,149608431917.3446,-5104.9603223860195,29469.769201492578,-0.005839326350988059,-0.0010167539263276038,-439492879.4906212
1080000.0,146151897865.70657,32005698574.793823,149615313357.31808,-6366.25481419944,29250.150353405814,-0.0057894450577277625,-0.0012678263925332352,-438665804.1126528
1296000.0,144641730651.53284,38294155197.044464,149625106743.9081,-7616.774946668636,28976.299852618635,-0.005728498541343696,-0.0015166301675189032,-437837407.197689
1512000.0,142862872849.07993,44517656016.66221,149638304373.94778,-8854.130631598875,28648.707736434553,-0.0056565504014317106,-0.0017626438555373848,-437007771.50031596
1728000.0,140818424624.88998,50664657931.870094,149655391741.1238,-10075.945518308125,28267.976663638477,-0.005573692360562128,-0.002005342820853038,-436176994.24083215
1944000.0,138511997297.54822,56723760253.89114,149676846481.6684,-11279.863068189545,27834.82261433422,-0.005480045132102269,-0.0022442010245951063,-435345187.00458246
2160000.0,135947708381.9776,62683729217.08558,149703137318.06735,-12463.552816723635,27350.07519302168,-0.005375759146821697,-0.00247869298207541,-434512475.58497024
2376000.0,133130175264.18823,68533522508.8924,149734723004.88733,-13624.716792437122,26814.67750889339,-0.005261015123134213,-0.002708295828841523,-433678999.7670168
2592000.0,130064507476.22934,74262313725.71815,149772051281.0421,-14761.096059034113,26229.68560986362,-0.005136024466791298,-0.0029324914817789698,-432844913.04878026
2808000.0,126756297548.71666,79859516656.16176,149815557833.00534,-15870.477343861034,25596.26744979936,-0.005001029487072231,-0.003150768879686676,-432010382.29845536
3024000.0,123211610426.56825,85314809288.8931,149865665273.63306,-16950.699713068636,24915.70137178704,-0.004856303418014738,-0.0033626262859688095,-431175587.34554386
3240000.0,119436971442.40997,90618157439.20001,149922782141.37668,-17999.66125135982,24189.374094017778,-0.004702150234988559,-0.003567573634453895,-430340720.5051106
