time,x,y,v_x,v_y,total_energy
0,149600000000.0,0.0,0.0,29800.0,-442786818.18181825
86400.0,149577874954.6352,2574593067.7398148,-512.1411504704324,29795.592739195967,-442786818.18213767
172800.0,149511506390.241,5148424598.827715,-1024.1301833484122,29782.37227672723,-442786818.18245786
259200.0,149400914019.75702,7720733284.68512,-1535.8150273480778,29760.342571976813,-442786818.18277836
345600.0,149246130691.41495,10290758272.806602,-2047.0437037814959,29729.510222534213,-442786818.1830995
432000.0,149047202378.73935,12857739394.617348,-2557.664372819038,29689.884462122594,-442786818.183421
518400.0,148804188166.55344,15420917393.115747,-3067.5253797034716,29641.477157697955,-442786818.1837432
604800.0,148517160232.99463,17979534150.229618,-3576.4753009023684,29584.30280572131,-442786818.1840657
691200.0,148186203827.54556,20532832913.814674,-4084.362990183459,29518.378527605288,-442786818.1843888
777600.0,147811417245.0882,23080058524.22397,-4591.037624597598,29443.724064336835,-442786818.1847123
864000.0,147392911795.98956,25620457640.37721,-5096.348750354044,29360.361770277963,-442786818.18503636
950400.0,146930811772.22897,28153278965.259056,-5600.146328572804,29268.316606146902,-442786818.18536085
1036800.0,146425254409.57816,30677773470.775658,-6102.28078089885,29167.616131182196,-442786818.1856857
1123200.0,145876389845.8469,33193194621.89896,-6602.603034963062,29058.290494492663,-442786818.18601114
1209600.0,145284381075.20782,35698798600.028625,-7100.964569674843,28940.372425596397,-442786818.18633693
1296000.0,144649403898.616,38193844525.501595,-7597.217460331402,28813.897224152304,-442786818.18666345
1382400.0,143971646870.33926,40677594679.17971,-8091.214423528791,28678.902748887966,-442786818.18699014
1468800.0,143251311240.61752,43149314723.04611,-8582.808861859858,28535.42940572788,-442786818.1873173
1555200.0,142488610894.4698,45608273919.74158,-9071.854908384401,28383.520135126462,-442786818.18764514
1641600.0,141683772286.66943,48053745350.97218,-9558.207470856854,28223.220398610494,-442786818.18797326
1728000.0,140837034372.90912,50485006134.720314,-10041.722275696997,28054.578164535873,-442786818.18830186
1814400.0,139948648537.1783,52901337641.19126,-10522.25591168924,27877.643893063996,-442786818.18863094
1900800.0,139018878515.3774,55302025707.42828,-10999.665873396212,27692.470520363186,-442786818.1889606
1987200.0,138048000315.19376,57686360850.5294,-11473.810604272425,27499.113442041013,-442786818.1892904
2073600.0,137036302132.2661,60053638479.39973,-11944.549539463998,27297.630495813522,-442786818.18962085
2160000.0,135984084262.66531,62403159104.97366,-12411.743148280502,27088.08194341771,-442786818.18995166
2246400.0,134891659011.72011,64734228548.84194,-12875.25297632514,26870.530451773855,-442786818.19028264
2332800.0,133759350599.21797,67046158150.21885,-13334.941687269642,26645.04107340454,-442786818.1906143
2419200.0,132587495061.01259,69338264971.18585,-13790.673104260388,26411.681226117496,-442786818.1909464
2505600.0,131376440147.07024,71609872000.1483,-14242.312250942421,26170.52067195966,-442786818.1912788
2592000.0,130126545215.98862,73860308353.44244,-14689.725392088205,25921.631495450038,-442786818.19161177
2678400.0,128838181126.02293,76088909475.03107,-15132.780073818105,25665.088081099275,-442786818.19194484
2764800.0,127511730122.65504,78295017334.2261,-15571.345163399796,25400.967090224076,-442786818.19227844
2851200.0,126147585722.74254,80477980621.378,-16005.290888613916,25129.347437064782,-442786818.19261265
2937600.0,124746152595.28584,82637154941.47182,-16434.48887667353,24850.310264214757,-442786818.1929469
3024000.0,123307846438.85245,84771903005.57089,-16858.8121926851,24563.938917370393,-442786818.1932815
3110400.0,121833093855.69824,86881594820.05008,-17278.135377638893,24270.318919410773,-442786818.1936165
3196800.0,120322332222.62733,88965607873.56068,-17692.334485916905,23969.537943816315,-442786818.1939521
3283200.0,118776009558.63237,91023327321.67064,-18101.287122306643,23661.685787435857,-442786818.19428784
3369600.0,117194584389.35872,93054146169.12392,-18504.872478509264,23346.854342611907,-442786818.19462395
3456000.0,115578525608.43651,95057465449.66422,-18902.97136913076,23025.13756867397,-442786818.19496036
3542400.0,113928312335.72581,97032694403.36873,-19295.46626714516,22696.631462810106,-442786818.1952971
3628800.0,112244433772.52101,98979250651.43874,-19682.241338818894,22361.43403032698,-442786818.1956344
3715200.0,110527389053.7613,100896560368.39456,-20063.18247808565,22019.645254308958,-442786818.19597185
3801600.0,108777687097.29544,102784058451.62361,-20438.177340361348,21671.367064686954,-442786818.1963095
