time,x,y,radius,v_x,v_y,a_x,a_y,total_energy
0,149600000000.0,0.0,149600000000.0,0.0,29800.0,-0.005927853062712689,-0.0,-442786818.18181825
86400.0,149577874407.0005,2574720000.0,149600032403.72247,-512.1665046183763,29800.0,-0.00592697249164139,-0.0001020224058817399,-442655468.8331279
172800.0,149511500914.71585,5149059203.410495,149600139426.5771,-1024.2569278961923,29791.18526413182,-0.005924329749857648,-0.00020402928494406313,-442524080.83424246
259200.0,149400892673.84088,7722256075.006016,149600334126.059,-1536.1190182838932,29773.55713391265,-0.005919923831503515,-0.00030598992384337566,-442392654.51371264
345600.0,149246075993.35855,10293549310.105122,149600629533.48465,-2047.600437325797,29747.119604492582,-0.005913754277467039,-0.00040787351263869024,-442261190.258065
432000.0,149047090346.00806,12862178064.204826,149601038650.02542,-2558.5488068989494,29711.879333000597,-0.005905821180643558,-0.0005096491549378597,-442129688.5117945
518400.0,148803988369.65164,15427382183.298256,149601574442.73428,-3068.8117569065525,29667.845646013968,-0.005896125190998686,-0.0006112858782799984,-441998149.77733827
604800.0,148516835864.502,17988402434.798897,149602249840.56793,-3578.236973408839,29615.030546130576,-0.00588466752042315,-0.0007127526447502445,-441866574.615027
691200.0,148185711786.17285,20544480738.9931,149603077730.40482,-4086.6722471733992,29553.448717624156,-0.005871449947369888,-0.0008140183618226428,-441734963.6430169
777600.0,147810708234.5175,23094860400.940693,149604070953.06128,-4593.9655226261575,29483.11753116268,-0.005856474821263739,-0.00091505189342652,-441603317.53719944
864000.0,147391930438.2217,25638786342.74197,149605242299.307,-5099.9649471833445,29404.057047570626,-0.005839745066674181,-0.0010158220712313457,-441471637.03108793
950400.0,146929496735.1186,28175505336.087643,149606604505.8811,-5604.518920943994,29316.290020616238,-0.005821264187241715,-0.001116297706144678,-441339922.9156847
1036800.0,146423538548.19543,30704266235.006653,149608170251.5108,-6107.476146721679,29219.841898805338,-0.005801036269348505,-0.0012164476000173909,-441208176.03932244
1123200.0,145874200357.26407,33224320208.725323,149609952152.93378,-6608.68568039339,29114.740826163834,-0.005779065985524128,-0.001316240557550005,-441076397.30748504
1209600.0,145281639666.26843,35734920974.54964,149611962760.9262,-7107.996981542675,29001.017641991515,-0.005755358597577317,-0.0014156453983935329,-440944587.68260425
1296000.0,144646026966.20486,38235325030.68111,149614214556.33783,-7605.259964373355,28878.705879570312,-0.005729919959444838,-0.001514630969437879,-440812748.1838317
1382400.0,143967545693.63278,40724791888.875175,149616719946.13583,-8100.325048869388,28747.84176381088,-0.005702756519748752,-0.0016131661572804416,-440680879.8867882
1468800.0,143246392184.7556,43202584306.84971,149619491259.4588,-8593.04321217568,28608.46420782185,-0.005673875324053587,-0.0017112199008671842,-440548983.9232897
1555200.0,142482775625.0541,45667968520.34993,149622540743.68335,-9083.26604017391,28460.614808386923,-0.005643284016815004,-0.0018087612042980488,-440417061.481045
1641600.0,141676917994.456,48120214474.77474,149625880560.50372,-9570.845779226727,28304.33784033557,-0.005610990843012008,-0.0019057591497882562,-440285113.8033337
