time,x,y,radius,v_x,v_y,a_x,a_y,total_energy
0,149600000000.0,0.0,149600000000.0,0.0,29800.0,-0.005927853062712689,-0.0,-442786818.18181825
8640.0,149599778744.07,257472000.0,149600000307.8392,-51.21665046183763,29800.0,-0.005927844258921842,-1.0202247154684537e-05,-442785504.7843504
17280.0,149599114976.6086,514943619.2031654,149600001232.33798,-102.43322485892234,29799.911852584584,-0.005927817847446334,-2.0404478842126984e-05,-442784191.38301677
25920.0,149598008698.93024,772414096.0164044,149600002774.80255,-153.64957106085868,29799.735557887387,-0.0059277738281849355,-3.0606664505153334e-05,-442782877.9778442
34560.0,149596459913.66367,1029882668.8489201,149600004936.53726,-204.86553693637651,29799.471116306064,-0.005927712201090025,-4.080877358561948e-05,-442781564.56886
43200.0,149594468624.75217,1287348576.1144922,149600007718.84467,-256.0809703537943,29799.118528502284,-0.005927632966167601,-5.101077552450731e-05,-442780251.1560909
51840.0,149592034837.45337,1544811056.2337575,149600011123.0254,-307.2957191814824,29798.677795401753,-0.005927536123477287,-6.121263976202081e-05,-442778937.73956466
60480.0,149589158558.33932,1802269347.6364923,149600015150.37827,-358.5096312883262,29798.14891819421,-0.005927421673132334,-7.141433573768217e-05,-442777624.3193086
69120.0,149585839795.29654,2059722688.7638917,149600019802.20035,-409.72255454418956,29797.531898333436,-0.005927289615299613,-8.16158328904277e-05,-442776310.8953495
77760.0,149582078557.52582,2317170318.070853,149600025079.78656,-460.93433682037823,29796.826737537263,-0.005927139950199666,-9.18171006587047e-05,-442774997.46771586
86400.0,149577874855.54248,2574611474.0282564,149600030984.43036,-512.1448259901033,29796.033437787573,-0.005926972678106632,-0.0001020181084805664,-442773684.0364342
95040.0,149573228701.17612,2832045395.1252456,149600037517.42307,-563.3538699289446,29795.1520013303,-0.005926787799348324,-0.00011221882579376937,-442772370.6015322
103680.0,149568140107.57068,3089471319.8715105,149600044680.05417,-614.5613165153142,29794.182430675442,-0.005926585314306201,-0.0001224192220358692,-442771057.16303843
112320.0,149562609089.18445,3346888486.7995677,149600052473.61136,-665.7670136309198,29793.124728597053,-0.005926365223415366,-0.00013261926664431657,-442769743.72097945
120960.0,149556635661.78998,3604296134.4670424,149600060899.3804,-716.9708091612285,29791.978898133246,-0.005926127527164592,-0.00014281892905655395,-442768430.27538365
129600.0,149550219842.4741,3861693501.45895,149600069958.64523,-768.1725509959306,29790.744942586196,-0.0059258722260962975,-0.00015301817871011142,-442767116.82627857
138240.0,149543361649.63782,4119079826.389978,149600079652.68784,-819.3720870294026,29789.42286552214,-0.0059255993208065785,-0.00016321698504270346,-442765803.3736919
146880.0,149536061102.99634,4376454347.906766,149600089982.78833,-870.5692651611714,29788.01267077137,-0.005925308811945192,-0.00017341531749232492,-442764489.9176523
155520.0,149528318223.579,4633816304.690188,149600100950.22504,-921.7639332963779,29786.51436242824,-0.005925000700215558,-0.00018361314549734714,-442763176.4581865
164160.0,149520133033.72922,4891164935.457636,149600112556.27426,-972.9559393462404,29784.92794485114,-0.005924674986374781,-0.00019381043849661504,-442761862.99532336
172800.0,149511505557.10434,5148499478.965295,149600124802.21048,-1024.1451312285185,29783.25342266253,-0.005924331671233632,-0.0002040071659295428,-442760549.52909064
181440.0,149502435818.67578,5405819174.010432,149600137689.30618,-1075.331356867977,29781.490800748896,-0.005923970755656568,-0.00021420329723621087,-442759236.05951685
190080.0,149492923844.7288,5663123259.433674,149600151218.83206,-1126.5144641968498,29779.640084260776,-0.005923592240561721,-0.00022439880185746173,-442757922.5866297
198720.0,149482969662.86246,5920410974.121287,149600165392.05682,-1177.694301155303,29777.701278612727,-0.005923196126920901,-0.0002345936492349967,-442756609.1104578
207360.0,149472573301.98965,6177681557.007462,149600180210.24728,-1228.8707156918997,29775.674389483338,-0.0059227824157596105,-0.00024478780881147244,-442755295.6310293
216000.0,149461734792.33698,6434934247.0765915,149600195674.6684,-1280.0435557640628,29773.559422815208,-0.005922351108157029,-0.0002549812500305971,-442753982.14837253
224640.0,149450454165.44452,6692168283.365554,149600211786.5831,-1331.2126693385396,29771.356384814942,-0.005921902205246027,-0.0002651739423372272,-442752668.66251594
233280.0,149438731454.16602,6949382904.965992,149600228547.2525,-1382.3779043918653,29769.06528195315,-0.005921435708213159,-0.00027536585517746337,-442751355.1734877
241920.0,149426566692.66855,7206577351.026596,149600245957.93567,-1433.539108910827,29766.686120964416,-0.0059209516182986794,-0.00028555695799874843,-442750041.6813169
250560.0,149413959916.4326,7463750860.755383,149600264019.88983,-1484.6961308929276,29764.218908847306,-0.005920449936796522,-0.00029574722024996205,-442748728.1860319
259200.0,149400911162.25186,7720902673.421976,149600282734.37027,-1535.8488183468496,29761.663652864347,-0.005919930665054313,-0.00030593661138151825,-442747414.68766105
267840.0,149387420468.23325,7978032028.359891,149600302102.6303,-1586.9970192929188,29759.02036054201,-0.005919393804473373,-0.000316125100845462,-442746101.1862331
276480.0,149373487873.79666,8235138164.96881,149600322125.92126,-1638.1405817635687,29756.289039670704,-0.00591883935650872,-0.00032631265809556604,-442744787.6817773
285120.0,149359113419.67502,8492220322.716864,149600342805.49265,-1689.279353803804,29753.469698304758,-0.005918267322669051,-0.000336499252587426,-442743474.17432165
293760.0,149344297147.914,8749277741.142914,149600364142.5919,-1740.4131834716645,29750.562344762402,-0.0059176777045167675,-0.0003466848537785591,-442742160.6638956
302400.0,149329039101.87204,9006309659.85883,149600386138.46454,-1791.5419188386893,29747.566987625756,-0.005917070503667957,-0.00035686943112849906,-442740847.1505279
311040.0,149313339326.22012,9263315318.551773,149600408794.35413,-1842.6654079903803,29744.483635740806,-0.0059164457217924,-0.0003670529540988939,-442739533.6342475
319680.0,149297197866.9418,9520293956.986473,149600432111.5023,-1893.7834990266667,29741.31229821739,-0.005915803360613569,-0.00037723539215360155,-442738220.1150834
328320.0,149280614771.33295,9777244815.007505,149600456091.14868,-1944.896040062368,29738.052984429185,-0.005915143421908625,-0.00038741671475878695,-442736906.5930644
336960.0,149263590088.00162,10034167132.54158,149600480734.53088,-1996.0028792276585,29734.705704013668,-0.0059144659075084285,-0.0003975968913830199,-442735593.0682204
345600.0,149246123866.86798,10291060149.599808,149600506042.8847,-2047.1038646685313,29731.27046687212,-0.005913770819297508,-0.0004077758914973686,-442734279.5405798
354240.0,149228216159.16415,10547923106.279987,149600532017.44376,-2098.1988445472616,29727.74728316958,-0.005913058159214104,-0.0004179536845755002,-442732966.01017237
362880.0,149209867017.43408,10804755242.768887,149600558659.43985,-2149.2876670428714,29724.13616333485,-0.005912327929250124,-0.0004281302400937743,-442731652.477027
371520.0,149191076495.53336,11061555799.344515,149600585970.10272,-2200.3701803515924,29720.43711806044,-0.00591158013145117,-0.0004383055275313417,-442730338.9411731
380160.0,149171844648.62903,11318324016.378403,149600613950.66013,-2251.4462326873304,29716.650158302567,-0.005910814767916525,-0.0004484795163702401,-442729025.40264016
388800.0,149152171533.1996,11575059134.337885,149600642602.3378,-2302.5156722821293,29712.775295281128,-0.005910031840799153,-0.0004586521760954913,-442727711.8614578
397440.0,149132057207.03464,11831760393.788372,149600671926.3596,-2353.578347386634,29708.812540479663,-0.005909231352305691,-0.0004688234761951971,-442726398.3176551
406080.0,149111501729.23483,12088427035.395632,149600701923.94714,-2404.634106270555,29704.761905645337,-0.005908413304696468,-0.0004789933861606381,-442725084.7712623
414720.0,149090505160.21173,12345058299.928068,149600732596.32034,-2455.6827972231326,29700.623402788908,-0.005907577700285466,-0.0004891618754863671,-442723771.2223085
423360.0,149069067561.68756,12601653428.258995,149600763944.6969,-2506.724268553599,29696.397044184705,-0.005906724541440353,-0.0004993289136703091,-442722457.67082345
432000.0,149047188996.6951,12858211661.368914,149600795970.2926,-2557.7583685916434,29692.082842370593,-0.005905853830582458,-0.000509494470213856,-442721144.11683697
440640.0,149024869529.57742,13114732240.347794,149600828674.32114,-2608.7849456878757,29687.680810147947,-0.005904965570186785,-0.0005196585146219648,-442719830.56037873
449280.0,149002109225.98776,13371214406.397345,149600862057.9943,-2659.8038482142897,29683.190960581614,-0.00590405976278198,-0.0005298210164032527,-442718517.0014785
457920.0,148978908152.88937,13627657400.833298,149600896122.52173,-2710.814924564726,29678.61330699989,-0.005903136410950371,-0.0005399819450700956,-442717203.44016623
466560.0,148955266378.5552,13884060465.087673,149600930869.11105,-2761.818023155337,29673.947862994486,-0.005902195517327932,-0.0005501412701387246,-442715889.8764724
475200.0,148931183972.5679,14140422840.711065,149600966298.96805,-2812.81299242505,29669.194642420487,-0.005901237084604277,-0.0005602989611293204,-442714576.3104259
483840.0,148906661005.81943,14396743769.374912,149601002413.2962,-2863.7996808360313,29664.35365939633,-0.005900261115522688,-0.0005704549875661144,-442713262.74205774
492480.0,148881697550.51093,14653022492.873775,149601039213.29715,-2914.777936874147,29659.424928303757,-0.005899267612880075,-0.0005806093189774815,-442711949.1713977
501120.0,148856293680.15253,14909258253.127611,149601076700.1704,-2965.747609049431,29654.408463787793,-0.005898256579526991,-0.0005907619248960392,-442710635.59847564
509760.0,148830449469.56314,15165450292.184044,149601114875.11346,-3016.7085458965444,29649.304280756693,-0.005897228018367623,-0.0006009127748587436,-442709322.0233221
518400.0,148804164994.87024,15421597852.220644,149601153739.32175,-3067.6605959752405,29644.112394381915,-0.005896181932359795,-0.0006110618384069866,-442708008.44596756
527040.0,148777440333.5096,15677700175.547197,149601193293.9887,-3118.6036078708294,29638.83282009808,-0.005895118324514938,-0.0006212090850866914,-442706694.86644167
535680.0,148750275564.2252,15933756504.607985,149601233540.30563,-3169.5374301946385,29633.46557360293,-0.005894037197898123,-0.0006313544844484121,-442705381.28477544
544320.0,148722670767.0687,16189766081.984053,149601274479.46182,-3220.4619115844785,29628.010670857297,-0.005892938555628022,-0.0006414980060474278,-442704067.70099884
552960.0,148694626023.39963,16445728150.395483,149601316112.6445,-3271.3769007051046,29622.468128085045,-0.005891822400876922,-0.0006516396194438404,-442702754.1151425
561600.0,148666141415.8848,16701641952.70367,149601358441.0388,-3322.282246248681,29616.83796177305,-0.005890688736870714,-0.0006617792942026722,-442701440.52723694
570240.0,148637217028.49826,16957506731.91359,149601401465.82782,-3373.1777969352443,29611.12018867114,-0.005889537566888878,-0.0006719169998939611,-442700126.93731266
578880.0,148607852946.52097,17213321731.17607,149601445188.19254,-3424.063401513164,29605.314825792055,-0.0058883688942645025,-0.0006820527060928597,-442698813.3454007
587520.0,148578049256.5406,17469086193.790073,149601489609.31195,-3474.9389087596096,29599.421890411413,-0.005887182722384241,-0.0006921863823797289,-442697499.751531
596160.0,148547806046.45123,17724799363.204945,149601534730.36285,-3525.8041674810092,29593.44140006765,-0.005885979054688347,-0.0007023179983402388,-442696186.15573514
604800.0,148517123405.45316,17980460483.0227,149601580552.52005,-3576.6590265135164,29587.373372561993,-0.005884757894670628,-0.0007124475235654612,-442694872.5580433
613440.0,148486001424.0526,18236068797.00031,149601627076.9562,-3627.5033347234707,29581.21782595839,-0.005883519245878473,-0.0007225749276519706,-442693558.95848644
622080.0,148454440194.06146,18491623549.05193,149601674304.842,-3678.336941007861,29574.974778583477,-0.005882263111912812,-0.0007327001802019365,-442692245.3570953
630720.0,148422439808.59695,18747123983.2512,149601722237.34586,-3729.1596942947876,29568.644249026533,-0.005880989496428147,-0.0007428232508232257,-442690931.7539011
639360.0,148390000362.0815,19002569343.83352,149601770875.6342,-3779.971443543927,29562.22625613942,-0.005879698403132515,-0.0007529441091294945,-442689618.1489348
648000.0,148357121950.24234,19257958875.19828,149601820220.87134,-3830.772037746992,29555.72081903654,-0.005878389835787486,-0.000763062724740287,-442688304.5422272
656640.0,148323804670.11127,19513291821.911167,149601870274.21945,-3881.561325928196,29549.127957094785,-0.005877063798208172,-0.0007731790672811338,-442686990.9338098
665280.0,148290048620.02438,19768567428.706413,149601921036.83865,-3932.3391571447146,29542.447689953475,-0.005875720294263195,-0.0007832931063836451,-442685677.32371354
673920.0,148255853899.62183,20023784940.489075,149601972509.88693,-3983.1053804871485,29535.68003751432,-0.005874359327874696,-0.0007934048116856107,-442684363.71196944
682560.0,148221220609.84738,20278943602.337284,149602024694.52017,-4033.859845079986,29528.825019941356,-0.00587298090301832,-0.0008035141528310953,-442683050.0986089
691200.0,148186148852.94827,20534042659.504528,149602077591.89206,-4084.6024000820644,29521.882657660895,-0.005871585023723215,-0.0008136210994705368,-442681736.4836634
699840.0,148150638732.47488,20789081357.421906,149602131203.1543,-4135.332894687033,29514.85297136147,-0.005870171694072009,-0.0008237256212608401,-442680422.8671639
708480.0,148114690353.28036,21044058941.700397,149602185529.4564,-4186.051178123816,29507.735981993777,-0.005868740918200812,-0.0008338276878654768,-442679109.2491416
717120.0,148078303821.52036,21298974658.13314,149602240571.94562,-4236.75709965707,29500.53171077062,-0.005867292700299219,-0.0008439272689545828,-442677795.62962884
725760.0,148041479244.65274,21553827752.697674,149602296331.76727,-4287.450508587655,29493.240179166853,-0.005865827044610269,-0.0008540243342050508,-442676482.00865674
734400.0,148004216731.43726,21808617471.55821,149602352810.06448,-4338.131254253088,29485.86140891932,-0.0058643439554304615,-0.0008641188533006303,-442675168.38625646
743040.0,147966516391.93524,22063343061.067894,149602410007.97818,-4388.799186028007,29478.395422026802,-0.00586284343710974,-0.0008742107959320242,-442673854.76246023
751680.0,147928378337.50925,22318003767.77109,149602467926.64725,-4439.454153324636,29470.84224074995,-0.005861325494051476,-0.0008843001317969843,-442672541.13729906
760320.0,147889802680.82272,22572598838.405613,149602526567.2083,-4490.09600559324,29463.201887611223,-0.005859790130712472,-0.0008943868306004098,-442671227.51080483
768960.0,147850789535.83975,22827127519.905,149602585930.79596,-4540.7245923225955,29455.474385394835,-0.00585823735160294,-0.0009044708620544419,-442669913.88300943
777600.0,147811339017.8246,23081589059.40078,149602646018.54248,-4591.339763040445,29447.659757146685,-0.005856667161286502,-0.000914552195878564,-442668600.253945
786240.0,147771451243.34146,23335982704.224724,149602706831.57812,-4641.941367313961,29439.758026174295,-0.005855079564380169,-0.0009246308017996944,-442667286.6236428
794880.0,147731126330.25412,23590307701.911118,149602768371.03098,-4692.529254750205,29431.769216046745,-0.00585347456555433,-0.0009347066495522848,-442665972.9921351
803520.0,147690364397.72562,23844563300.19901,149602830638.02695,-4743.103274996594,29423.693350594614,-0.00585185216953275,-0.0009447797088784172,-442664659.3594536
812160.0,147649165566.2178,24098748747.03447,149602893633.68976,-4793.663277741357,29415.530453909905,-0.005850212381092557,-0.0009548499495279013,-442663345.72563016
820800.0,147607529957.49103,24352863290.572853,149602957359.14093,-4844.209112713997,29407.280550345986,-0.005848555205064232,-0.0009649173412583706,-442662032.09069747
829440.0,147565457694.60385,24606906179.181065,149603021815.49988,-4894.740629685752,29398.943664517512,-0.005846880646331587,-0.0009749818538353779,-442660718.45468736
838080.0,147522948901.9126,24860876661.4398,149603087003.88385,-4945.257678470057,29390.519821300375,-0.005845188709831758,-0.0009850434570324927,-442659404.8176315
846720.0,147480003705.07108,25114773986.14581,149603152925.40784,-4995.760108923003,29382.009045831615,-0.005843479400555213,-0.0009951021206314001,-442658091.1795625
855360.0,147436622231.03006,25368597402.314163,149603219581.1847,-5046.2477709438,29373.41136350936,-0.005841752723545708,-0.0010051578144219938,-442656777.54051286
864000.0,147392804608.03705,25622346159.180492,149603286972.3251,-5096.720514475235,29364.726799992754,-0.005840008683900295,-0.0010152105082024752,-442655463.9005143
872640.0,147348550965.63586,25876019506.203255,149603355099.93753,-5147.178189504134,29355.955381201886,-0.005838247286769307,-0.0010252601717794494,-442654150.25959957
881280.0,147303861434.66623,26129616693.06598,149603423965.12823,-5197.6206460618205,29347.09713331771,-0.005836468537356345,-0.0010353067749680224,-442652836.61780065
889920.0,147258736147.26337,26383136969.67953,149603493569.00125,-5248.0477342245795,29338.152082781988,-0.00583467244091827,-0.0010453502875918976,-442651522.9751509
898560.0,147213175236.85773,26636579586.184353,149603563912.65857,-5298.459304114113,29329.120256297192,-0.005832859002765163,-0.0010553906794834684,-442650209.3316821
907200.0,147167178838.17447,26889943792.95273,149603634997.1998,-5348.855205898004,29320.001680826455,-0.005831028228260358,-0.0010654279204839227,-442648895.6874267
915840.0,147120747087.2331,27143228840.591022,149603706823.72244,-5399.235289790174,29310.796383593475,-0.00582918012282039,-0.0010754619804433324,-442647582.0424175
924480.0,147073880121.34708,27396433979.94194,149603779393.32178,-5449.599406051342,29301.504392082446,-0.0058273146919149985,-0.0010854928292207534,-442646268.396687
933120.0,147026578079.12338,27649558462.08678,149603852707.09082,-5499.947404989488,29292.125734037978,-0.005825431941067118,-0.0010955204366843228,-442644954.750268
941760.0,146978841100.46216,27902601538.34767,149603926766.12036,-5550.279136960308,29282.660437465027,-0.005823531875852859,-0.001105544772711354,-442643641.1031934
950400.0,146930669326.55624,28155562460.289837,149604001571.49908,-5600.594452367677,29273.1085306288,-0.005821614501901478,-0.0011155658071884311,-442642327.45549583
959040.0,146882062899.89084,28408440479.723827,149604077124.31335,-5650.893201664106,29263.470042054694,-0.005819679824895392,-0.0011255835100115086,-442641013.8072082
967680.0,146833021964.24292,28661234848.707787,149604153425.64734,-5701.175235351202,29253.745000528193,-0.005817727850570147,-0.0011355978510860084,-442639700.15836316
976320.0,146783546664.681,28913944819.54968,149604230476.58295,-5751.440403980128,29243.933435094812,-0.00581575858471441,-0.001145608800326914,-442638386.5089939
984960.0,146733637147.56458,29166569644.809547,149604308278.1999,-5801.688558152061,29234.035375059986,-0.005813772033169947,-0.0011556163276588668,-442637072.8591335
993600.0,146683293560.54376,29419108577.301758,149604386831.57565,-5851.919548518649,29224.050849989013,-0.005811768201831613,-0.0011656204030162643,-442635759.20881444
1002240.0,146632516052.55878,29671560870.097244,149604466137.78546,-5902.133225782474,29213.979889706952,-0.005809747096647337,-0.0011756209963433555,-442634445.5580701
1010880.0,146581304773.83957,29923925776.525745,149604546197.90222,-5952.329440697507,29203.822524298546,-0.005807708723618121,-0.00118561807759434,-442633131.90693384
1019520.0,146529659875.9054,30176202550.178062,149604627012.9968,-6002.508044069568,29193.578784108133,-0.005805653088797983,-0.0011956116167334571,-442631818.2554383
1028160.0,146477581511.5642,30428390444.908283,149604708584.13757,-6052.668886756783,29183.248699739557,-0.005803580198293991,-0.0012056015837350917,-442630504.60361725
1036800.0,146425069834.91245,30680488714.83604,149604790912.3908,-6102.8118196700425,29172.832302056086,-0.005801490058266218,-0.0012155879485838635,-442629190.95150363
