time,x,y,v_x,v_y,total_energy
0,149600000000.0,0.0,0.0,29800.0,-442786818.18181825
8640.0,149599778744.07,257472000.0,-51.21653668138585,29799.955926487844,-442786818.1798689
17280.0,149599114977.59167,514943238.4080204,-102.43292123360807,29799.82370582264,-442786818.1779118
25920.0,149598008702.53662,772412953.6337993,-153.64900152751758,29799.603338400393,-442786818.17594624
34560.0,149596459922.19083,1029880384.0916369,-204.8646254348916,29799.29482488111,-442786818.1739729
43200.0,149594468641.15466,1287344768.2026763,-256.0796408288967,29798.898166188806,-442786818.17199093
51840.0,149592034865.34286,1544805344.3971844,-307.29389558455193,29798.413363511485,-442786818.1700013
60480.0,149589158601.98453,1802261351.1168332,-358.5072375791922,29797.840418301148,-442786818.1680032
69120.0,149585839859.62308,2059712026.8169804,-409.719514692931,29797.179332273783,-442786818.16599715
77760.0,149582078648.11624,2317156609.9689503,-460.93057480912387,29796.43010740937,-442786818.16398305
86400.0,149577874978.63602,2574594339.062314,-512.1402658148312,29795.592745951864,-442786818.1619607
95040.0,149573228863.6686,2832024452.607172,-563.3484356012815,29794.667250409188,-442786818.1599304
103680.0,149568140317.0145,3089446189.136432,-614.5549320643344,29793.65362355323,-442786818.15789187
112320.0,149562609353.78824,3346858787.208093,-665.7596031049436,29792.551868419832,-442786818.1558452
120960.0,149556635990.41855,3604261485.407522,-716.9622966296204,29791.36198830879,-442786818.1537904
129600.0,149550220244.64822,3861653522.349738,-768.1628605508959,29790.083986783815,-442786818.1517276
138240.0,149543362135.534,4119034136.6816897,-819.3611427877847,29788.717867672563,-442786818.1496568
146880.0,149536061683.44662,4376402567.0845375,-870.5569912662477,29787.26363506659,-442786818.1475778
155520.0,149528318910.07074,4633758052.275932,-921.7502539196547,29785.721293321345,-442786818.14549047
164160.0,149520133838.40475,4891099831.012297,-972.9407786892478,29784.090847056177,-442786818.14339536
172800.0,149511506492.7609,5148427142.091104,-1024.1284135246042,29782.372301154293,-442786818.14129174
181440.0,149502436898.765,5405739224.353157,-1075.3130063840986,29780.565660762764,-442786818.13918036
190080.0,149492925083.35657,5663035316.684873,-1126.494405235367,29778.670931292494,-442786818.1370605
198720.0,149482971074.78857,5920314658.020555,-1177.6724580557684,29776.688118418206,-442786818.1349327
207360.0,149472574902.62744,6177576487.344677,-1228.8470128328486,29774.617228078434,-442786818.1327972
216000.0,149461736597.75293,6434820043.694162,-1280.0179175648022,29772.458266475496,-442786818.13065326
224640.0,149450456192.3581,6692044566.160661,-1331.1850202609357,29770.211240075474,-442786818.1285012
233280.0,149438733719.94907,6949249293.892828,-1382.3481689421299,29767.876155608195,-442786818.12634087
241920.0,149426569215.34506,7206433466.098606,-1433.5072116413028,29765.453020067216,-442786818.1241726
250560.0,149413962714.67822,7463596322.047501,-1484.6619964038723,29762.941840709787,-442786818.1219963
259200.0,149400914255.3936,7720737101.072858,-1535.8123712882186,29760.342625056845,-442786818.1198117
267840.0,149387423876.2488,7977855042.574144,-1586.9581843661463,29757.65538089298,-442786818.1176193
276480.0,149373491617.31424,8234949386.019225,-1638.0992837233475,29754.88011626641,-442786818.1154184
285120.0,149359117519.97266,8492019370.94664,-1689.2355174598638,29752.01683948897,-442786818.1132096
293760.0,149344301626.9192,8749064236.967882,-1740.3667336905492,29749.065559136066,-442786818.11099243
302400.0,149329043982.1612,9006083223.769674,-1791.4927805455316,29746.02628404666,-442786818.10876745
311040.0,149313344631.01813,9263075571.116247,-1842.613506170676,29742.89902332324,-442786818.1065345
319680.0,149297203620.1214,9520040518.851614,-1893.7287587280457,29739.683786331785,-442786818.1042932
328320.0,149280620997.4142,9776977306.90185,-1944.8383863963656,29736.380582701753,-442786818.10204405
336960.0,149263596812.15146,10033885175.277367,-1995.9422373714835,29732.989422326027,-442786818.0997866
345600.0,149246131114.8995,10290763364.075188,-2047.0401598668325,29729.510315360905,-442786818.0975212
354240.0,149228223957.5361,10547611113.481224,-2098.1320021138927,29725.943272226057,-442786818.09524745
362880.0,149209875393.25018,10804427663.77255,-2149.217612362653,29722.28830360449,-442786818.09296584
371520.0,149191085476.54175,11061212255.319683,-2200.2968388820746,29718.545420442526,-442786818.09067637
380160.0,149171854263.22168,11317964128.588848,-2251.36952996055,29714.714633949752,-442786818.08837837
388800.0,149152181810.4115,11574682524.144262,-2302.4355339063673,29710.795955599,-442786818.08607244
397440.0,149132068176.54333,11831366682.650402,-2353.49469904817,29706.7893971263,-442786818.08375823
406080.0,149111513421.3596,12088015844.874285,-2404.54687373542,29702.69497053085,-442786818.0814364
414720.0,149090517605.9129,12344629251.687733,-2455.5919063388587,29698.512688074978,-442786818.0791062
423360.0,149069080792.5659,12601206144.069654,-2506.629645250968,29694.242562284096,-442786818.07676774
432000.0,149047203044.9909,12857745763.108315,-2557.6599388864324,29689.884605946667,-442786818.0744217
440640.0,149024884428.16995,13114247350.003605,-2608.6826356825995,29685.438832114163,-442786818.0720671
449280.0,149002125008.39444,13370710146.069317,-2659.6975840999426,29680.905254101028,-442786818.06970465
457920.0,148978924853.26492,13627133392.735418,-2710.70463262252,29676.28388548463,-442786818.067334
466560.0,148955284031.69104,13883516331.550318,-2761.7036297584373,29671.574740105225,-442786818.0649553
475200.0,148931202613.89114,14139858204.183142,-2812.694424040309,29666.7778320659,-442786818.06256855
483840.0,148906680671.39218,14396158252.426,-2863.676864025718,29661.89317573255,-442786818.0601736
492480.0,148881718277.02945,14652415718.196262,-2914.650798297677,29656.920785733815,-442786818.05777067
501120.0,148856315504.94638,14908629843.538822,-2965.61607546509,29651.860676961038,-442786818.0553594
509760.0,148830472430.5943,15164799870.62837,-3016.5725441632117,29646.712864568224,-442786818.05294055
518400.0,148804189130.73224,15420925041.771662,-3067.520053054109,29641.47736397199,-442786818.0505132
527040.0,148777465683.42664,15677004599.409786,-3118.458450827122,29636.15419085151,-442786818.04807806
535680.0,148750302168.05118,15933037786.120436,-3169.3875861993215,29630.74336114848,-442786818.0456347
544320.0,148722698665.28647,16189023844.620173,-3220.3073079159735,29625.244891067054,-442786818.0431832
552960.0,148694655257.11987,16444962017.766695,-3271.217464750997,29619.658797073793,-442786818.04072374
561600.0,148666172026.84518,16700851548.561108,-3322.1179055074235,29613.985095897624,-442786818.0382563
